"Accession name"	"PI (no.)"	"MUNQ (no.)z"	"Ploidy"	"Ma1"	"Q8"	"TA (g·L-1)"	"pH"	"Date(s) harvested"	"SPI"	"Region of origin"	"PLANTID.x"	"ACP"	"apple_id"	"PLANTID.y"	"ACCID"	"origin"	"species"	"use"	"country"	"world"	"release_year"	"acidity_16_stor"	"brix_16_stor"	"weight_avg_16_stor"	"firmness_avg_16_stor"	"brix_acid_16_stor"	"acidity_16_harv"	"juiciness_16_harv"	"date_jul_16_harv"	"weight_avg_16_harv"	"brix_avg_16_harv"	"firmness_avg_16_harv"	"flowering_jul_16_harv"	"precocity_16_harv"	"brix_acid_16_harv"	"time_ripen_16_harv"	"percent_acidity_16"	"percent_brix_16"	"percent_weight_16"	"percent_firmness_avg_16"	"percent_brix_acid_16"	"acidity_17_stor"	"brix_17_stor"	"weight_avg_17_stor"	"firmness_avg_17_stor"	"brix_acid_17_stor"	"brix_17_harv"	"acidity_17_harv"	"date_jul_17_harv"	"firmness_avg_17_harv"	"weight_avg_17_harv"	"brix_acid_17_harv"	"percent_acidity_17"	"percent_brix_17"	"percent_weight_avg_17"	"percent_firmness_avg_17"	"percent_brix_acid_17"	"tpc"	"frap"	"time_ripen_2017"
"Frequin"	162503	"6564"	2	"mama"	"Q8Q8"	1.48	4.9	"21 Sept. 2017, 24 Sept. 2019"	"7.7"	"France"	"Frequin"	"PI"	768	"Frequin"	"140094"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"152.04597425933099"	"2.5300870584459001"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Binet Rouge"	158730	"2360"	2	"mama"	"Q8Q8"	1.54	4.6	"26 Oct. 2017, 12 Oct. 2018"	"5.6"	"France"	"Binet Rouge"	"PI"	537	"Binet Rouge"	"138366"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"156.86946900460501"	"2.0322737426936301"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.407"	"15.7"	"34.682000000000002"	"7.1913999999999998"	"11.158493248045501"	"9.5338245620012305"	"2.6017741737217301"	"278.40719888385502"	"11.0752701189465"	"45.590394249300601"	"3.5062919309007099"	"-45.921517162754199"	"64.676829302850507"	"-23.926957485058299"	"-35.067949379422799"	"218.241990910867"	"NA"	"NA"	"121.306619859638"
"Frequin Audievre"	161838	"n/a"	2	"MaMa"	"Q8Q8"	1.61	4.8	"05 Oct. 2018"	"7.7"	"France"	"Frequin Audievre"	"PI"	723	"Frequin Audievre"	"139563"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"156.902283798909"	"1.01555798372517"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.0234000000000001"	"13.9"	"49.423999999999999"	"8.0974000000000004"	"6.86962538301868"	"8.9463422630119496"	"2.3372790191131401"	"267.46625941976299"	"10.311752993093499"	"54.509267481273099"	"3.9901781310212501"	"-13.4292489919427"	"55.370760377328899"	"-9.3291796354081704"	"-21.474069390302599"	"72.1633761062307"	"NA"	"NA"	"110.369416628548"
"American Forestier"	173978	"4779"	2	"mama"	"Q8Q8"	1.64	4.5	"06 Oct. 2017, 12 Oct. 2018"	"7.6"	"France"	"American Forestier"	"PI"	436	"American Forestier"	"151023"	"USDA"	"domestica"	"dessert"	"France"	"old"	"NA"	"NA"	"NA"	"87.566999999999993"	"6.0799000000000003"	"NA"	"3.8730890509623901"	"9.7463147372646795"	"311.61564026502299"	"126.825027066651"	"14.478735703008001"	"12.359855814743501"	"154.189626387582"	"1.9879792003705401"	"3.8102242181222099"	"157.37892383742499"	"NA"	"NA"	"-30.954479549229301"	"-50.8092967173001"	"NA"	"NA"	"NA"	"104.208"	"5.1862000000000004"	"NA"	"12.0815742074439"	"2.9451076849264699"	"289.22038785640001"	"10.6665208021415"	"121.68546879502"	"4.0515040060126202"	"NA"	"NA"	"-14.362823242651"	"-51.378710113622297"	"NA"	"9.8024129941708402"	"11.06249770644"	"135.110483633467"
"Dekkers Glorie"	188515	"2497"	2	"Mama"	"q8q8"	1.65	4.3	"21 Sept. 2017, 17 Sept. 2018"	"7.3"	"Northern Europe"	"Dekkers Glorie"	"PI"	375	"Dekkers Glorie"	"161402"	"USDA"	"domestica"	"dessert"	"Netherlands"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"155.40922082700899"	"2.0677418778149299"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.5946"	"8.3000000000000007"	"71.656000000000006"	"4.5548000000000002"	"5.2050671014674501"	"10.7564750324172"	"4.1601723416203296"	"254.65114720994501"	"8.5115774339823407"	"117.860405226211"	"2.7682908820735901"	"-61.6698571824328"	"-22.837175050507"	"-39.202652610544"	"-46.487005078341497"	"88.024572676719302"	"NA"	"NA"	"100.683281923823"
"Repinaldo do Liebana"	105528	"n/a"	2	"mama"	"Q8Q8"	1.66	4.5	"29 Sept. 2017, 09 Oct. 2019"	"7.5"	"Spain"	"Repinaldo do Liebana"	"PI"	956	"Repinaldo do Liebana"	"128379"	"USDA"	"domestica"	"dessert"	"Spain"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"154.17451287012801"	"2.4308784646467099"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.3852000000000002"	"12.8"	"154.25399999999999"	"5.9177999999999997"	"5.36642629548885"	"10.5815742074439"	"2.0875076849264702"	"289.22038785640001"	"7.4661208021415399"	"181.57546879501999"	"4.9510242618761602"	"14.260657204910601"	"20.9649882811906"	"-15.046894261836201"	"-20.737955401115801"	"8.39022415647133"	"NA"	"NA"	"135.110483633467"
"Dunkerton Late Sweet"	589666	"2595"	2	"mama"	"Q8q8"	1.67	4.7	"19 Oct. 2017, 19 Oct. 2018"	"6.5"	"England"	"Dunkerton Late Sweet"	"PI"	528	"Dunkerton Late Sweet"	"18820"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.4181896328499699"	"14.8898259852565"	"306.09709389731302"	"141.130795393906"	"13.788739269423401"	"10.4362364886517"	"153.86651231070101"	"1.9735310867248199"	"8.6737505328473201"	"152.535857653574"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"3.7692293970308199"	"3.6708912830792499"	"NA"
"Pommier Llorca"	240817	"n/a"	2	"mama"	"Q8Q8"	1.72	4.8	"01 Sept. 2017, 07 Sept. 2018"	"7.4"	"Northern Africa"	"Pommier Llorca"	"PI"	1046	"Pommier Llorca"	"187593"	"USDA"	"domestica"	"NA"	"Algeria"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"152.25575349715101"	"0.99217586630091503"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"11.680650601843499"	"1.9603932156099699"	"240.29825234645699"	"6.1759208021415404"	"97.699344497008894"	"5.9194521443049197"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Damelot"	162722	"4696"	2	"mama"	"Q8q8"	1.73	4.6	"19 Oct. 2017, 19 Oct. 2018, 24 Oct. 2019"	"7.4"	"France"	"Damelot"	"PI"	451	"Damelot"	"140209"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.538764819112"	"0.98360180455100898"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"55"	"6.2942"	"NA"	"9.9447727446196197"	"3.0876668990820999"	"267.58358207485702"	"11.3214312082274"	"63.878500936148299"	"3.17381349362058"	"NA"	"NA"	"-13.8990439757237"	"-44.404555535116998"	"NA"	"NA"	"NA"	"113.78315446113"
"Marin Onfroy"	173982	"6559"	2	"mama"	"Q8Q8"	1.81	4.5	"15 Sept. 2017, 20 Sept. 2019"	"7.8"	"France"	"Marin Onfroy"	"PI"	1041	"Marin Onfroy"	"151027"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"1.9563999999999999"	"13.4"	"75.641999999999996"	"6.3673000000000002"	"6.8493150684931496"	"1.81818963284997"	"NA"	"306.34354917181503"	"88.380332239964105"	"12.3109614916456"	"9.8694336392684807"	"160.67266898310299"	"3.0054999440535299"	"6.2154171995139897"	"145.990185110927"	"7.6015375213303997"	"8.8460881718575592"	"-14.4130848087082"	"-35.484646508328503"	"10.1987983852271"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"6.7867250659437204"	"6.2393446293857604"	"NA"
