"PLANTID"	"apple_id"	"ACCID"	"origin"	"species"	"use"	"country"	"world"	"release_year"	"acidity_16_stor"	"brix_16_stor"	"weight_avg_16_stor"	"firmness_avg_16_stor"	"brix_acid_16_stor"	"acidity_16_harv"	"juiciness_16_harv"	"date_jul_16_harv"	"weight_avg_16_harv"	"brix_avg_16_harv"	"firmness_avg_16_harv"	"flowering_jul_16_harv"	"precocity_16_harv"	"brix_acid_16_harv"	"time_ripen_16_harv"	"percent_acidity_16"	"percent_brix_16"	"percent_weight_16"	"percent_firmness_avg_16"	"percent_brix_acid_16"	"acidity_17_stor"	"brix_17_stor"	"weight_avg_17_stor"	"firmness_avg_17_stor"	"brix_acid_17_stor"	"brix_17_harv"	"acidity_17_harv"	"date_jul_17_harv"	"firmness_avg_17_harv"	"weight_avg_17_harv"	"brix_acid_17_harv"	"percent_acidity_17"	"percent_brix_17"	"percent_weight_avg_17"	"percent_firmness_avg_17"	"percent_brix_acid_17"	"tpc"	"frap"	"time_ripen_2017"
"Idared"	225	"3682"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1942"	"NA"	"14"	"87.498999999999995"	"7.0027999999999997"	"NA"	"5.4249624532910001"	"7.7780546184272703"	"307.660534535034"	"144.13208099513699"	"13.4513223247603"	"8.3194280091270496"	"154.09082597554701"	"0.98116665612948695"	"2.4988826938351099"	"153.43279775885799"	"NA"	"4.0789868980370096"	"-39.292488253914698"	"-15.8259438952126"	"NA"	"3.6850000000000001"	"12"	"158.09399999999999"	"7.4268000000000001"	"3.2564450474898199"	"10.6532129594081"	"5.1933705316763001"	"278.08711766275098"	"8.7828375307025492"	"164.24136483258201"	"2.0881166833830802"	"-29.0441539357954"	"12.642073764258299"	"-3.74288464958159"	"-15.439629003294099"	"55.951296850608102"	"NA"	"NA"	"123.961787037843"
"Jonagold"	176	"5004"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1968"	"4.3684000000000003"	"12.9"	"134.39400000000001"	"4.4178499999999996"	"3.1160529678433799"	"4.8732248019532696"	"13.4839403018419"	"300.39321351606299"	"162.09352321118399"	"12.383185050973401"	"6.4632428451007904"	"152.854028665106"	"1.52828587563192"	"2.54860949823231"	"147.63387571207201"	"-10.3591527678125"	"4.1735219727333002"	"-17.088605801414801"	"-31.646541745699999"	"22.264825976856901"	"4.6096000000000004"	"12.8"	"186.81200000000001"	"4.5536000000000003"	"2.77681360638667"	"12.5212077197918"	"6.2841398617967403"	"281.92880161934499"	"7.2619392984740001"	"203.981891475612"	"2.0024573764246898"	"-26.647081360756999"	"2.2265606197677301"	"-8.4173606546171396"	"-37.294986740568298"	"38.6702977590746"	"2.8695260163291398"	"2.69361173741357"	"128.96363828309799"
"Lobo"	888	"135663"	"USDA"	"domestica"	"dessert"	"Canada"	"new"	"1910"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.11264191840315"	"13.9856725701306"	"284.71750271474701"	"184.61740495761501"	"11.9430481832821"	"5.88887810023245"	"154.06935282756999"	"1.91966934477967"	"2.4553154505041901"	"130.689677660488"	"NA"	"NA"	"NA"	"NA"	"NA"	"6.7"	"11.7"	"214.37799999999999"	"4.0220000000000002"	"1.7462686567164201"	"12.242971269768599"	"11.5900643958965"	"253.52898763394501"	"8.9052085609259795"	"221.259656997501"	"1.0394036886267499"	"-42.191865626111998"	"-4.4349631948361399"	"-3.1102176921383999"	"-54.835420501574603"	"68.006778869870402"	"3.9477851754132298"	"3.8313682128906699"	"99.271976156229897"
"Red Delicious"	48	"NA"	"Kentville"	"domestica"	"dessert"	"United States"	"new"	"1895"	"2.7738"	"13.7"	"188.232"	"4.7988999999999997"	"4.9390727521811204"	"2.5244783743202501"	"13.950066044459801"	"310.32706433099003"	"168.98006833094399"	"12.083991397744899"	"6.9326120258756401"	"153.08120847166299"	"1.96263230003648"	"4.8157734211527901"	"156.95198544752299"	"9.8761640509946194"	"13.3731359868121"	"11.393019223634999"	"-30.777894650842502"	"2.5603225119925801"	"2.6398000000000001"	"11.7"	"NA"	"NA"	"4.4321539510569004"	"9.9347257210531197"	"2.7223592338782101"	"275.102630799449"	"8.2702910989240195"	"220.549149267498"	"3.5310433748393399"	"-3.03263554827031"	"17.768726872912101"	"NA"	"NA"	"25.519668850246301"	"3.5909923388537002"	"3.77162122620603"	"122.096898190801"
"Spartan"	224	"4155"	"USDA"	"domestica"	"dessert"	"Canada"	"new"	"1936"	"3.7118000000000002"	"11.2"	"118.34"	"4.3671428571428601"	"3.01740395495447"	"3.5182054193519798"	"21.339239478275299"	"292.40323322484102"	"132.07069087769599"	"11.0278089790978"	"6.2139890982648298"	"153.717947054131"	"1.50549994341616"	"3.2395117401784899"	"138.57514767014499"	"5.5026514251597796"	"1.5614254946614601"	"-10.3964708493963"	"-29.720783411700499"	"-6.8562117701040401"	"6.5258000000000003"	"13.3"	"204.68666666666701"	"4.6543333333333301"	"2.0380642986300499"	"10.4581908715141"	"8.4508939783098107"	"267.31268369519898"	"8.3840018165080998"	"160.90185319596699"	"1.2618962949063"	"-22.779767244161199"	"27.173047072858299"	"27.212125032129499"	"-44.485540017787798"	"61.508065825756603"	"2.2696136014291399"	"2.4659413886339498"	"113.39335116868099"
"Field Spy"	777	"7977"	"USDA"	"domestica"	"NA"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.84851497032"	"3.0449066223966099"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.5609999999999999"	"13.9"	"224.578"	"5.5118"	"2.4995504405682398"	"11.211403468098201"	"NA"	"276.16471943561402"	"9.9286835641589306"	"247.28406778831999"	"NA"	"NA"	"23.980909611826402"	"-9.1821798271924404"	"-44.4860946128168"	"NA"	"NA"	"NA"	"122.324202268528"
"Loop Giant Spy"	804	"11928"	"USDA"	"domestica"	"NA"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"154.08961035874799"	"3.0347669412526699"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Manitoba Spy"	977	"14902"	"USDA"	"domestica"	"dessert"	"Canada"	"new"	"1931"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.7930341122466302"	"13.3463147372647"	"285.61866899773798"	"161.74233192581599"	"11.1015883494501"	"4.3809644247007897"	"154.09643697129599"	"1.50141769195356"	"1.90275136882191"	"132.20686819829299"	"NA"	"NA"	"NA"	"NA"	"NA"	"8.1338000000000008"	"12.7"	"228.89"	"4.4165999999999999"	"1.5613858221249599"	"11.515403471432601"	"10.0982763288954"	"267.40308254620999"	"7.76876766290248"	"221.11536976058301"	"1.18110025688527"	"-19.453580640036598"	"10.287060557679499"	"3.5160967090777602"	"-43.149284524362798"	"32.1975685825822"	"5.9371663471644798"	"6.3555206448407997"	"113.348819293391"
"Northern Spy"	136	"4166"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1840"	"6.1908000000000003"	"14"	"245.90100000000001"	"5.4012000000000002"	"2.2614201718679299"	"6.9618977598151197"	"16.612184677845999"	"310.31963569198803"	"266.38226358283299"	"13.018067016068199"	"6.0420953501893901"	"154.20978919878701"	"2.6596090949808802"	"1.84974782151091"	"157.02825749055901"	"-11.0759707542099"	"7.5428478184956402"	"-7.6886739031948403"	"-10.6071704109949"	"22.255593198685698"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"4.4837795859449896"	"4.4854027114632302"	"NA"
"Prairie Spy"	981	"21882"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1940"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.98657464263701"	"0.96163123260195504"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"3.4973999999999998"	"11.4"	"NA"	"NA"	"3.25956424772688"	"11.779758486238199"	"10.277408204712"	"278.206232735225"	"8.0623597228782593"	"212.62980296637801"	"1.21069042812464"	"-65.970019577537997"	"-3.2238223447607601"	"NA"	"NA"	"169.23185085191"	"NA"	"NA"	"124.180539773907"
"Red Spy"	987	"21276"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"NA"	"6.7"	"13.2"	"230.482"	"5.6451000000000002"	"1.9701492537313401"	"6.9043789597471399"	"11.9127492776935"	"306.10824452455898"	"304.81058616726"	"12.3371850944981"	"6.7367615776474503"	"155.36235847716799"	"2.4992860513874802"	"1.84376595112611"	"150.60636089415399"	"-2.9601353132364099"	"6.9936123912632304"	"-24.3851721496554"	"-16.204545241285899"	"6.8546282963973502"	"NA"	"NA"	"NA"	"NA"	"NA"	"12.5967489295727"	"11.432234841533001"	"290.26311702610701"	"8.9729517828540306"	"324.01424087767401"	"1.0326701301446"	"NA"	"NA"	"NA"	"NA"	"NA"	"3.5589780392328598"	"4.0265798417914898"	"136.39242102189399"
"Granny Smith"	167	"4248"	"USDA"	"domestica"	"dessert"	"Australia"	"new"	"1895"	"8.8574000000000002"	"13.4"	"198.86500000000001"	"7.0845000000000002"	"1.51285930408472"	"9.9464158507169902"	"16.989825985256498"	"308.79217773008901"	"213.57316207372699"	"11.560878458650899"	"8.8897771267636205"	"153.917959805566"	"1.51275573268704"	"1.1701873132013501"	"154.72860272626099"	"-10.948826864488"	"15.908147014320599"	"-6.8867089529955203"	"-20.307338429538799"	"29.283516153144902"	"10.947800000000001"	"14.5"	"222.036"	"8.0454000000000008"	"1.3244670162041701"	"11.0030512787347"	"12.328549178068201"	"281.69212956525001"	"10.2197529930935"	"227.84893216335999"	"0.87587440958213003"	"-11.1996079840804"	"31.781627047615"	"-2.5512220347788701"	"-21.275983818424201"	"51.2165444856482"	"5.4524154162858496"	"6.1038675059870204"	"127.94077215239599"
"Barkley Rome"	470	"11758"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1953"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"349.06366366019"	"11.399315994015099"	"8.1545181535234708"	"154.083189884386"	"0.94932831733239298"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"3.5510000000000002"	"12.3"	"217.43199999999999"	"5.9954000000000001"	"3.4638130104195999"	"10.448329930715699"	"5.5128352180603999"	"278.48785276819399"	"9.9113109825535997"	"222.098280787031"	"1.9411486269839799"	"-35.586683447988797"	"17.7221630783386"	"-2.1009981574353098"	"-39.509515839494803"	"78.441411557518293"	"5.7371009246891598"	"6.4862547963179704"	"124.41693454621"
"Hotle Rome"	791	"6666"	"USDA"	"domestica"	"NA"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"156.78091889297099"	"1.0449066230339801"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.9882"	"12.1"	"170.483"	"5.2718999999999996"	"4.1687160134038796"	"10.0348188155056"	"5.2584790191131399"	"282.02102343943699"	"9.9019182786261908"	"167.58312989633399"	"1.84868304620437"	"-43.1736821780841"	"20.580154185776902"	"1.73040693622315"	"-46.758801156946802"	"125.49652423993901"	"NA"	"NA"	"125.005228304146"
"Rome Beauty Law"	226	"3812"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"0.97761417171649201"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Red Australian Rome Beauty"	1100	"176065"	"USDA"	"domestica"	"cider"	"Australia"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"156.77873545744799"	"1.5078085744532399"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"3.6448"	"12.3"	"165.172"	"5.9602000000000004"	"3.3746707638279201"	"12.231082177237999"	"6.2770788723900699"	"288.76027550228298"	"9.5980835641589302"	"201.299161337654"	"1.9775566022742901"	"-41.934774532915803"	"0.56346463676171998"	"-17.947000423441999"	"-37.902186825539602"	"70.648504318251995"	"NA"	"NA"	"131.61233090328901"
"Pink Lady"	235	"NA"	"Kentville"	"domestica"	"dessert"	"Australia"	"new"	"1973"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.06178685290118"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
