"PIID" "apple_id" "Name" "Acidity" "DeltaAcidity" "SSC" "Firmness" "Weight" "Juiciness" "PhenolicContent" "HarvestDate" "FloweringDate" "Softening" "AppleType"
589653 911 "Harry Masters Jersey" 3.31559752145029 -42.206495583281 12.4048328171337 10.4457447979042 132.428794947627 3.6500660444598 10.4910037771899 268.098697680047 158.968692025071 -32.4681950738895 "England"
122598 550 "Binet Blanc" 2.90137760064273 -35.341060068003 12.0732428243353 10.8243256135307 69.6402655491185 NA NA 267.581679024246 156.974678400809 -18.9030308823396 "France"
158730 537 "Binet Rouge" 2.60177417372173 -45.9215171627542 9.53382456200123 11.0752701189465 45.5903942493006 NA NA 278.407198883855 156.869469004605 -35.0679493794228 "France"
161838 723 "Frequin Audievre" 2.33727901911314 -13.4292489919427 8.94634226301195 10.3117529930935 54.5092674812731 NA NA 267.466259419763 156.902283798909 -21.4740693903026 "France"
173978 436 "American Forestier" 2.94510768492647 NA 12.0815742074439 10.6665208021415 121.68546879502 9.74631473726468 9.80241299417084 289.2203878564 154.189626387582 -51.3787101136223 "France"
162722 451 "Damelot" 3.0876668990821 NA 9.94477274461962 11.3214312082274 63.8785009361483 NA NA 267.583582074857 153.538764819112 -44.404555535117 "France"
162731 904 "Jouveaux" 3.72919321560996 -32.8058415018289 13.1616386704705 11.4943613093248 139.132356343841 11.7856725701306 8.23700899012159 281.967562335731 152.9826397785 -34.4965779534707 "France"
162716 1121 "Manche Rouge" 4.03346713858329 -49.5025016934834 12.4432238791882 10.9385774339823 70.3109741972696 8.97805461842727 11.5543619585045 240.698466878071 151.975876365041 -34.4795971573537 "France"
589493 990 "Muscadet de Dieppe" 1.98216129239987 NA 12.9671307959225 8.70408103488237 108.418567672298 NA NA 255.54473453806 153.973279507051 NA "France"
175545 1134 "Royal Jersey" 2.73139570321082 36.8750780271488 13.5258753038007 11.6508312082274 88.9070086814159 NA NA 260.489229287227 155.398995577562 -16.7561539029834 "England"
150649 1053 "Major" 2.18698165732997 NA 13.0870554189829 7.19277646462811 88.2442117430541 18.7856725701306 5.96862245439853 247.506647052521 157.336649861933 NA "England"
162548 945 "Pomme Thoury" 3.3865340050851 -46.1868684246623 11.5114034680982 11.6220835641589 101.99806778832 8.48982598525645 NA 269.164719435614 160.766870707714 -23.7692626189513 "France"
162732 731 "Launette" 3.83645585863821 4.43493024893513 13.8162042147735 8.65076766290248 95.2760428009317 10.5608926106443 10.2727647434162 267.551901343979 153.131914697266 -26.1684020553495 "France"
173986 1026 "Noel Deschamps" 2.63741699804368 NA 9.46104862894022 13.2040760051845 49.8377360651513 NA NA 278.660230727242 154.07066152277 -52.65401382463 "France"
105498 507 "Bella de Jardins" 6.30487881061603 -13.2862000329897 12.3285108751089 7.25880555824512 155.027168347671 NA NA 257.383539616005 151.943019904397 -44.5611269277078 "France"
162724 789 "Lande" 6.95736019738329 -45.6862963423795 11.3696428218976 10.3577764646281 139.777256922866 14.5398259852565 3.37820904321977 282.913333608956 161.110625628441 -23.6322580718678 "France"
589694 1195 "Sunset" 9.54967417372173 -14.2651377307758 13.3838245620012 8.69437011894648 139.362394249301 7.7856725701306 NA 260.907198883855 151.869469004605 NA "England"
102537 569 "Bella di Pontoise" 6.66154003964798 NA 10.2005377023497 11.0730725884032 290.985724607399 NA NA 289.229702843948 154.101373143864 NA "France"
175549 1148 "Teign Harvey" 9.41576969716115 -15.3229076704812 10.7201300244814 9.07143120822743 101.293218142841 NA NA 253.219279083808 153.970171128687 -45.3118269198738 "England"
161839 835 "Lambrook Pippin" 8.08637234162034 -20.7901920737361 12.6564750324172 9.33377743398234 85.6244052262109 NA NA 282.651147209945 156.928669382763 -31.4618326262085 "England"
161763 1070 "Nanot" 10.2638158316729 -7.17487378719725 10.0940580416069 8.90573101137949 133.778523649229 NA NA 271.395713950122 151.902283798909 -38.6956557185044 "France"
589588 1011 "Reinette Grise" 9.27560787124062 -22.566799936969 13.8467306232319 10.0584336825079 240.842100182023 NA NA 288.279205774142 161.342496239572 -18.2596390300996 "France"
