"pc","pov"
"PC1",25.749798418043
"PC2",16.791376748758
"PC3",13.5004693925896
"PC4",11.5335075198148
"PC5",9.71014655499002
"PC6",6.52915022377855
"PC7",5.91761267697614
"PC8",4.66363617562405
"PC9",3.74147686067981
"PC10",1.86282542874606
